,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
72,462482154,95.0,Hermès Tie,1274,Hermes,http://bim.shopstyle.com/pim/5f/1b/5f1bdd93546aaf23596930e05571422a_best.jpg,Men's red and multicolor Hermès silk tie with star motif and logo at end.,TheRealReal,unknown,_silk,False
73,439525890,165.0,Burberry London Woven Silk Tie,870,Burberry,http://bim.shopstyle.com/pim/de/90/de90549a0392087c11113e0c8c6177da_best.jpg,"Sharp tonal checks mark a clean-cut tie shaped from pure silk. <ul> <li>2 3/4"" width; 56"" length.</li> <li>100% silk.</li> <li>Dry clean.</li> <li>By Burberry London; made in Italy.</li> <li>Men's Designer.</li> </ul>",Nordstrom,unknown,_silk,False
74,462309743,80.37,Yves Saint Laurent Vintage striped tie,2263,Yves Saint Laurent,http://bim.shopstyle.com/pim/c3/6e/c36e1490d34861f0a0355f7ffafa4ec5_best.jpg,Blue silk striped tie from Yves Saint Laurent Vintage circa 1990. Please note that vintage items are not new and therefore might have minor imperfections.,farfetch.com,_striped,_silk,False
75,462309754,105.01,Hermès Vintage logo jacquard tie,1274,Hermes,http://bim.shopstyle.com/pim/80/4d/804dec232165d6a14a8e7b8c7813b9ee_best.jpg,Brown silk logo jacquard tie from Hermès Vintage circa 1990 featuring a pointed tip and a logo tag at the rear. Please note that vintage items are not new and therefore might have minor imperfections.,farfetch.com,unknown,_silk,False
77,455230161,80.37,Kenzo 'Eye' tie,2498,Kenzo,http://bim.shopstyle.com/pim/55/80/55800686227aa8b82abe57d2395aae15_best.jpg,Blue silk 'Eye' tie from Kenzo featuring a pointed tip and a contrasting white embroidered eye design.,farfetch.com,unknown,_silk,False
78,455143452,110.0,Kenzo 'Eye' tie,2498,Kenzo,http://bim.shopstyle.com/pim/e6/79/e6798f5cb674f48288d6ed3c4d454043_best.jpg,Black silk 'Eye' tie from Kenzo featuring a pointed tip.,farfetch.com,unknown,_silk,False
80,440949435,275.0,"Ermenegildo Zegna Quindici Patchwork-Circle Silk Tie, Green",1139,Ermenegildo Zegna,http://bim.shopstyle.com/pim/ac/62/ac623db818979fc013ecab22fcc8b378_best.jpg,"<ul><li>Printed silk.</li><li>The tail end of a Quindici tie features its hallmark: the actual screen rotation used to finish each and every design.</li><li>3 1/2"" at widest.</li><li>Dry clean.</li><li>Made in Italy.</li></ul>",Neiman Marcus,unknown,_silk,False
81,355492358,200.0,Silk Jacquard Tie,1242,Gucci,http://bim.shopstyle.com/pim/93/05/9305e7135a09019ae821dace5f9b941d_best.jpg,"<ul> <li>black</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
83,463662963,75.0,English textured silk tie in moss grey dots,284,J.Crew,http://bim.shopstyle.com/pim/25/5c/255c19e5602ed112d5ff9fb829cabf76_best.jpg,"Sometimes you want to wear a tie even when you don't have to. This one is made from textured English silk with a classic dot pattern-because it's so subtle, it looks handsome with just about everything. <ul> <li>2 1/2"" at widest point.</li> <li>English silk.</li> <li>USA.</li> </ul>",J.Crew,unknown,_silk,False
84,460096050,190.0,"Salvatore Ferragamo Golfing Santa Tie, Blue",1948,Salvatore Ferragamo,http://bim.shopstyle.com/pim/88/ba/88ba55da532b268d8b0f29deaff71610_best.jpg,"<ul><li>Salvatore Ferragamo printed silk tie.</li><li>Approx. 3""W.</li><li>Made in Italy.</li></ul>",Neiman Marcus,_print,_silk,False
86,462287926,165.0,Burberry London Navy Silk Check Tie,870,Burberry,http://bim.shopstyle.com/pim/63/d5/63d58940a1ac05d9c0174f92454db0eb_best.jpg,"Silk tie in tones of navy, blue, and grey. Signature check pattern throughout. Feed-through loop at back. Tonal stitching. Approx. 56"" x 3.25"". 100% silk. Made in United Kingdom",SSENSE,unknown,_silk,False
87,457709596,120.0,Barneys New York Stripe Square Neck Tie,2363,Barneys New York,http://bim.shopstyle.com/pim/5d/78/5d7831d0add80cfc77598023b480f26b_best.jpg,"Exclusively Ours! Barneys New York handmade olive green and green stripe-pattern silk-knit neck tie styled with a square bottom. 2"" width, approximately. Keeper loop at back. Available in Olive Green/Green. Silk. Dry clean. Handmade in Italy.",Barneys New York,_striped,_silk,False
88,462306922,95.0,Hermès Tie,1274,Hermes,http://bim.shopstyle.com/pim/8d/5f/8d5f4d9fce3d9656981ad6f2a03cfc40_best.jpg,"Men's navy blue, red and white silk Hermès tie with buckle motif.",TheRealReal,unknown,_silk,False
