Gg Pattern Silk Tie,"<ul> <li>grey GG</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
Dot Patterned Silk Bow Tie,<ul> <li>black and white</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> </ul>
Dot Patterned Silk Bow Tie,<ul> <li>lilac and blue</li> <li>Made in Italy</li> <li>woven</li> <li>100% silk</li> </ul>
Dotted Woven Silk Tie,"<ul> <li>sapphire blue and dark grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Dotted Woven Silk Tie,"<ul> <li>black and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Dotted Woven Silk Tie,"<ul> <li>brown and light brown</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Interlocking G Striped Woven Silk Tie,"<ul> <li>orange and light brown</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Striped Woven Silk Tie,"<ul> <li>periwinkle and red</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
GG pattern tie.,"<ul> <li>black with beige GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
GG pattern tie.,"<ul> <li>light grey with grey GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
interlocking G pattern silk wool tie,"<ul> <li>dark grey with light grey</li> <li>87% silk and 13% wool</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Interlocking G Striped Woven Silk Tie,"<ul> <li>light blue and blue</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Interlocking G Striped Woven Silk Tie,"<ul> <li>black and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Striped Woven Silk Tie,"<ul> <li>dark blue and light blue</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Solid Woven Silk Tie,"<ul> <li>yellow</li> <li>100% silk</li> <li>3.1""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Solid Woven Silk Tie,"<ul> <li>black</li> <li>100% silk</li> <li>3.1""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Solid Woven Silk Tie,"<ul> <li>royal blue</li> <li>100% silk</li> <li>3.1""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
GG pattern tie with web detail.,"<ul> <li>grey</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>"
GG patterned silk twill tie,"<ul> <li>light blue and light brown</li> <li>Made in Italy</li> <li>100% silk twill</li> <li>3.2""""W x 54.6""""L</li> </ul>"
Black Silk Cummerbund,<ul> <li>website exclusive</li> <li>black</li> <li>Made in Italy</li> <li>handmade</li> <li>100% silk</li> </ul>
Bow Tie,<ul> <li>black</li> <li>handmade</li> <li>100% silk twill</li> </ul>
Woven Linen Silk Bow Tie,<ul> <li>midnight blue</li> <li>55% linen and 45% silk</li> <li>Made in Italy</li> </ul>
Cummerbund.,"<ul> <li>black</li> <li>handmade</li> <li>100% silk twill</li> <li>38""""L x 5""""H</li> </ul>"
Cummerbund.,"<ul> <li>white</li> <li>handmade</li> <li>100% silk twill</li> <li>38""""L x 5""""H</li> </ul>"
Bow Tie.,<ul> <li>website exclusive</li> <li>black</li> <li>handmade</li> <li>100% silk jacquard</li> </ul>
Patterned Woven Silk Tie,"<ul> <li>brown and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
Mini-Stripe Woven Silk Wool Tie,"<ul> <li>black and grey</li> <li>66% silk and 34% wool</li> <li>2.8""""W x 54.6""""L</li> </ul>"
Patterned Woven Silk Tie,"<ul> <li>dark blue and grey</li> <li>100% silk</li> <li>2.8""""W x 54.6""""L</li> <li>Made in Italy</li> </ul>"
interlocking G woven silk tie,"<ul> <li>navy and blue</li> <li>3.2""""W x 54.6""""L</li> <li>Made in Italy</li> <li>100% silk</li> </ul>"
Patterned Cotton Knit Tie,<ul> <li>black and grey</li> <li>100% cotton</li> <li>Made in Italy</li> </ul>
Patterned Woven Silk Tie,"<ul> <li>brown and pink</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
Original Print Habutai Silk Tie,"<ul> <li>off-white and grey</li> <li>100% silk</li> <li>2.8""""W x 57.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Woven Silk Tie,"<ul> <li>light brown and beige</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
Patterned Woven Silk Tie,"<ul> <li>navy blue and red</li> <li>100% silk</li> <li>3.1""""W x 54.5""""L</li> <li>Made in Italy</li> </ul>"
